axis,dir,deg,us,adc_mean,adc_min,adc_max,adc_sd,mv
AZ,UP,60.0,1133,1300.20,1257,1346,19.78,1212
AZ,UP,62.0,1154,1321.47,1285,1362,16.72,1222
AZ,UP,64.0,1176,1354.16,1325,1443,18.52,1251
AZ,UP,66.0,1197,1381.61,1344,1421,15.53,1277
AZ,UP,68.0,1218,1412.53,1374,1472,17.82,1302
AZ,UP,70.0,1239,1449.16,1403,1498,20.96,1334
AZ,UP,72.0,1260,1473.42,1408,1522,16.52,1354
AZ,UP,74.0,1281,1506.31,1473,1570,20.29,1377
AZ,UP,76.0,1302,1540.55,1477,1599,20.56,1403
AZ,UP,78.0,1323,1582.69,1535,1649,18.69,1435
AZ,UP,80.0,1344,1612.86,1575,1663,17.25,1463
AZ,UP,82.0,1366,1644.56,1604,1680,15.03,1494
AZ,UP,84.0,1387,1723.38,1692,1763,16.35,1558
AZ,UP,86.0,1408,1741.48,1698,1791,17.75,1575
AZ,UP,88.0,1429,1776.27,1686,1840,24.25,1602
AZ,UP,90.0,1450,1808.47,1754,1856,19.32,1624
AZ,UP,92.0,1471,1854.27,1822,1904,18.19,1664
AZ,UP,94.0,1492,1871.61,1831,1908,14.70,1683
AZ,UP,96.0,1513,1904.94,1860,1959,19.52,1706
AZ,UP,98.0,1534,1933.45,1874,2018,19.84,1729
AZ,UP,100.0,1556,1959.67,1893,2007,18.86,1748
AZ,UP,102.0,1577,1999.50,1962,2096,24.11,1782
AZ,UP,104.0,1598,2028.56,1965,2170,26.91,1805
AZ,UP,106.0,1619,2054.69,2016,2103,21.31,1831
AZ,UP,108.0,1640,2096.72,2047,2135,16.76,1861
AZ,UP,110.0,1661,2157.31,2113,2213,18.09,1914
AZ,UP,112.0,1682,2187.30,2150,2230,16.36,1934
AZ,UP,114.0,1703,2217.19,2182,2257,17.22,1965
AZ,UP,116.0,1724,2251.50,2198,2301,21.01,1990
AZ,UP,118.0,1746,2283.39,2235,2352,19.21,2017
AZ,UP,120.0,1767,2319.11,2282,2359,18.16,2045
AZ,UP,122.0,1788,2351.02,2320,2388,16.80,2071
AZ,UP,124.0,1809,2381.59,2352,2423,16.80,2097
AZ,UP,126.0,1830,2411.03,2385,2446,16.02,2121
AZ,UP,128.0,1851,2443.14,2373,2489,23.12,2150
AZ,UP,130.0,1872,2479.00,2435,2525,18.95,2175
AZ,UP,132.0,1893,2509.84,2471,2559,17.30,2206
AZ,UP,134.0,1914,2543.28,2511,2601,18.45,2225
AZ,UP,136.0,1936,2606.44,2559,2662,22.14,2280
AZ,UP,138.0,1957,2645.53,2612,2698,20.77,2313
AZ,UP,140.0,1978,2677.34,2633,2730,22.45,2344
AZ,UP,142.0,1999,2707.80,2675,2749,16.27,2373
AZ,UP,144.0,2020,2739.36,2706,2775,17.16,2387
AZ,UP,146.0,2041,2778.59,2736,2820,17.06,2420
AZ,UP,148.0,2062,2811.27,2769,2847,18.33,2452
AZ,UP,150.0,2083,2844.67,2807,2917,23.32,2480
AZ,UP,152.0,2104,2882.52,2834,3055,31.30,2505
AZ,UP,154.0,2126,2920.55,2878,2969,21.98,2534
AZ,UP,156.0,2147,2955.56,2897,3025,24.84,2550
AZ,UP,158.0,2168,3031.55,2987,3097,25.35,2605
AZ,UP,160.0,2189,3071.09,3015,3140,26.52,2629
AZ,UP,162.0,2210,3114.53,2994,3202,30.21,2663
AZ,UP,164.0,2231,3156.38,3071,3227,32.25,2688
AZ,UP,166.0,2252,3206.97,3157,3258,26.81,2713
AZ,UP,168.0,2273,3244.56,3205,3438,34.05,2737
AZ,UP,170.0,2294,3291.84,3226,3366,31.69,2766
AZ,UP,172.0,2316,3335.25,3278,3411,30.74,2789
AZ,UP,174.0,2337,3384.67,3315,3468,32.42,2818
AZ,UP,176.0,2358,3436.64,3373,3539,32.30,2846
